filePath,lineNumber,text,classification
DeepBank1.1/20001001,287,"nw/wsj/00/wsj_0001.parse 0 8 gold join-v 22.1-2-1 Cause_to_amalgamate join.01 null ----- 0:2-ARG0=Agent;Agent 7:0-ARGM-MOD 8:0-rel 9:1-ARG1=Patient;Part_1 11:1-ARGM-PRD 15:1-ARGM-TMP 
",Cause_to_amalgamate
DeepBank1.1/20003001,557,"nw/wsj/00/wsj_0003.parse 0 9 gold make-v 26.1-1 Manufacturing make.01 null ----- 7:1-ARG0=Agent;Manufacturer 9:0-rel 10:1-ARG1=Product;Product 
",Manufacturing
DeepBank1.1/20003002,498,"nw/wsj/00/wsj_0003.parse 1 21 gold cause-v 27 Causation cause.01 1 ----- 16:2-ARG0=Cause;Cause 21:0-rel 22:2-ARG1=Theme;Effect 
",Causation
DeepBank1.1/20003003,506,"nw/wsj/00/wsj_0003.parse 2 14 gold make-v 26.1-1 Manufacturing make.01 null ----- 3:2*12:1*13:1-ARG0=Agent;Manufacturer 14:0-rel 15:1-ARG1=Product;Product 3:2*12:1-LINK-SLC 
",Manufacturing
DeepBank1.1/20003004,524,"nw/wsj/00/wsj_0003.parse 3 4 gold report-v 37.7-1 Statement report.01 null ----- 1:1*5:1-ARG1 4:0-rel 6:3-ARGM-TMP 
",Statement
DeepBank1.1/20003008,308,"nw/wsj/00/wsj_0003.parse 7 7 gold study-v 14-1 Scrutiny study.01 null ----- 3:1*5:1*6:1-ARG0=Agent 7:0-rel 8:1-ARG1=Topic 3:1*5:1-LINK-SLC 
",Scrutiny
DeepBank1.1/20003010,422,"nw/wsj/00/wsj_0003.parse 9 2 gold lead-v 51.7 Cotheme lead.02 null ----- 0:1-ARG0=Agent;Theme 2:0-rel 3:2-ARG1=Theme;Cotheme 
",Cotheme
DeepBank1.1/20003012,314,"nw/wsj/00/wsj_0003.parse 11 13 gold sell-v 13.1-1 Commerce_sell sell.01 null ----- 5:3*14:1-ARG1=Theme;Goods 13:0-rel 
",Commerce_sell
DeepBank1.1/20003016,366,"nw/wsj/00/wsj_0003.parse 15 14 gold study-v 14-1 Scrutiny study.01 null ----- 9:2*12:1*13:1-ARG0=Agent 14:0-rel 15:2-ARG1=Topic 9:2*12:1-LINK-SLC 
",Scrutiny
DeepBank1.1/20003017,628,"nw/wsj/00/wsj_0003.parse 16 28 gold study-v 14-1 Scrutiny study.01 null ----- 25:1*29:1-ARG1=Topic 28:0-rel 30:1-ARGM-LOC 25:1*29:1-LINK-PSV 
",Scrutiny
DeepBank1.1/20003019,608,"nw/wsj/00/wsj_0003.parse 18 4 gold support-v 31.2 Taking_sides support.01 null ----- 0:1-ARG0=Experiencer 2:1-ARGM-ADV 3:0-ARGM-MOD 4:0-rel 5:2-ARG1=Stimulus 
",Taking_sides
DeepBank1.1/20003021,308,"nw/wsj/00/wsj_0003.parse 20 18 gold explain-v 37.1.1 Statement explain.01 null ----- 0:3*20:1-ARG1=Topic;Message 16:1-ARG0=Agent;Speaker 18:0-rel 
",Statement
DeepBank1.1/20003024,318,"nw/wsj/00/wsj_0003.parse 23 8 gold make-v 26.1-1 Manufacturing make.01 null ----- 4:1*6:1*7:1-ARG0=Agent;Manufacturer 8:0-rel 9:2-ARG1=Product;Product 4:1*6:1-LINK-SLC 
",Manufacturing
DeepBank1.1/20003029,218,"nw/wsj/00/wsj_0003.parse 28 6 gold recognize-v 29.5-1 Becoming_aware recognize.02 null ----- 2:1*4:1-ARG0 3:0-ARGM-MOD 6:0-rel 8:2-ARG1 
",Becoming_aware
DeepBank1.1/20004001,389,"nw/wsj/00/wsj_0004.parse 0 7 gold continue-v 55.3 Process_continue continue.01 null ----- 0:2*8:2-ARG1 7:0-rel 12:1-ARGM-ADV 
",Process_continue
DeepBank1.1/20004006,325,"nw/wsj/00/wsj_0004.parse 5 3 gold consider-v 29.9-1-1-1 Categorization consider.01 null ----- 3:0-rel 4:2-ARG1=Theme;Item 10:1-ARGM-CAU 
",Categorization
DeepBank1.1/20004007,532,"nw/wsj/00/wsj_0004.parse 6 10 gold consider-v 29.9-1-1-1 Categorization consider.01 null ----- 0:2,13:2-ARG1=Theme;Item 10:0-rel 11:1-ARG0=Agent;Cognizer 
",Categorization
DeepBank1.1/20004009,374,"nw/wsj/00/wsj_0004.parse 8 8 gold sell-v 13.1-1 Commerce_sell sell.01 null ----- 3:2*9:1-ARG1=Theme;Goods 8:0-rel 10:1-ARGM-LOC 3:2*9:1-LINK-PSV 
",Commerce_sell
DeepBank1.1/20004010,249,"nw/wsj/00/wsj_0004.parse 9 7 gold continue-v 55.3 Activity_ongoing continue.01 null ----- 0:1-ARGM-ADV 6:1,8:2-ARG1 7:0-rel 
",Activity_ongoing
DeepBank1.1/20004017,448,"nw/wsj/00/wsj_0004.parse 16 6 gold fall-v 45.6-1 Change_position_on_a_scale fall.01 null ----- 0:1-ARG1=Patient;Item 6:0-rel 7:1-ARG4 12:1-ARG3 
",Change_position_on_a_scale
DeepBank1.1/20005001,449,"nw/wsj/00/wsj_0005.parse 0 13 gold hold-v 15.1-1 Manipulation hold.01 null ----- 6:1*11:1*12:1-ARG0=Agent;Agent 13:0-rel 14:2-ARG1=Theme;Entity 6:1*11:1-LINK-SLC 
",Manipulation
DeepBank1.1/20005003,242,"nw/wsj/00/wsj_0005.parse 2 2 gold hold-v 15.1-1 Manipulation hold.01 null ----- 0:1-ARG0=Agent;Agent 2:0-rel 3:2-ARG1=Theme;Entity 
",Manipulation
DeepBank1.1/20007003,271,"nw/wsj/00/wsj_0007.parse 2 10 gold make-v 26.1-1 Manufacturing make.01 null ----- 0:2-ARG0=Agent;Manufacturer 10:0-rel 11:1-ARG1=Product;Product 
",Manufacturing
DeepBank1.1/20007004,234,"nw/wsj/00/wsj_0007.parse 3 1 gold employ-v 13.5.3 Employing employ.01 1 ----- 0:1-ARG0=Agent 1:0-rel 2:1-ARG1=Theme 
",Employing
DeepBank1.1/20008003,331,"nw/wsj/00/wsj_0008.parse 2 5 gold drop-v 45.6-1 Change_position_on_a_scale drop.01 null ----- 0:2-ARG1=Patient;Item 5:0-rel 6:1-ARGM-TMP 8:1-ARGM-TMP 9:1-ARG4 14:1-ARG3 
",Change_position_on_a_scale
DeepBank1.1/20010001,504,"nw/wsj/00/wsj_0010.parse 0 16 gold jet-v 51.4.1 Ride_vehicle jet.01 null ----- 0:2-ARGM-TMP 10:2-ARG1=Agent;Vehicle 15:1-ARGM-TMP 16:0,17:1-rel 18:1-ARG2=Location;Area/Goal 
",Ride_vehicle
DeepBank1.1/20010006,521,"nw/wsj/00/wsj_0010.parse 5 2 gold receive-v 13.5.2 Receiving receive.01 null ----- 2:0-rel 3:0-ARG0=Agent;Donor 
",Receiving
DeepBank1.1/20010007,512,"nw/wsj/00/wsj_0010.parse 6 5 gold join-v 22.1-2-1 Cause_to_amalgamate join.01 null ----- 0:1-ARGM-DIS 3:1-ARG0=Agent;Agent 5:0-rel 6:1-ARG1=Patient;Part_1 11:1-ARGM-PRP 
",Cause_to_amalgamate
DeepBank1.1/20010008,106,"nw/wsj/00/wsj_0010.parse 7 3 gold follow-v 47.8 Cotheme follow.01 null ----- 0:1-ARG1=Theme;Theme 3:0-rel 
",Cotheme
DeepBank1.1/20010011,311,"nw/wsj/00/wsj_0010.parse 10 15 gold ban-v 67 Prohibiting ban.01 null ----- 10:1*20:1-ARGM-LOC 11:1*16:1-ARG1=Theme;State_of_affairs 15:0-rel 17:1-ARG2 
",Prohibiting
DeepBank1.1/20010017,680,"nw/wsj/00/wsj_0010.parse 16 19 gold feed-v 39.7 Ingestion feed.01 1 ----- 0:1-ARGM-LOC 12:2-ARG0 19:0-rel 20:1-ARG2 21:2-ARG1 
",Ingestion
DeepBank1.1/20011004,414,"nw/wsj/00/wsj_0011.parse 3 8 gold begin-v 55.1-1 Process_start begin.01 null ----- 0:2*6:1*7:1-ARG1=Theme;Event 8:0-rel 9:1-ARGM-TMP 0:2*6:1-LINK-SLC 
",Process_start
DeepBank1.1/20011006,333,"nw/wsj/00/wsj_0011.parse 5 8 gold record-v 25.4 Recording record.01 1 ----- 0:1-ARGM-ADV 5:1-ARG0=Agent 8:0-rel 9:2-ARG1=Theme 17:1-ARGM-TMP 19:1-ARGM-TMP 
",Recording
DeepBank1.1/20012001,465,"nw/wsj/00/wsj_0012.parse 0 3 gold try-v 61 Attempt try.01 null ----- 0:1*2:1*4:1-ARG0=Agent 3:0-rel 4:2-ARG1=Theme 
",Attempt
DeepBank1.1/20012005,202,"nw/wsj/00/wsj_0012.parse 4 10 gold cost-v 54.2 Expensiveness cost.01 null ----- 0:2-ARG1=Theme;Goods 9:0-ARGM-MOD 10:0-rel 11:1-ARG2=Value;Asset 
",Expensiveness
DeepBank1.1/20012007,206,"nw/wsj/00/wsj_0012.parse 6 6 gold announce-v 37.7-1 Statement announce.01 null ----- 0:1*4:1-ARG0=Agent;Speaker 3:1-ARGM-TMP 6:0-rel 7:1-ARG1=Topic;Message 
",Statement
DeepBank1.1/20012009,520,"nw/wsj/00/wsj_0012.parse 8 3 gold reward-v 33 Rewards_and_punishments reward.01 1 ----- 0:1-ARG0=Agent;Agent 2:0-ARGM-MOD 3:0-rel 4:1-ARGM-MNR 9:2-ARG1=Theme;Evaluee 21:2-ARGM-TMP 
",Rewards_and_punishments
DeepBank1.1/20012012,423,"nw/wsj/00/wsj_0012.parse 11 7 gold gain-v 13.5.1-1 Change_of_quantity_of_possession gain.02 null ----- 0:1-ARG0=Agent 7:0-rel 8:1-ARG1=Theme 9:1-ARGM-TMP 12:1-ARGM-MNR 
",Change_of_quantity_of_possession
DeepBank1.1/20012013,202,"nw/wsj/00/wsj_0012.parse 12 8 gold record-v 25.4 Recording record.01 1 ----- 0:1-ARGM-DIS 2:2-ARG0=Agent 8:0-rel 9:1-ARG1=Theme 11:1-ARGM-TMP 
",Recording
DeepBank1.1/20014002,537,"nw/wsj/00/wsj_0014.parse 1 6 gold retire-v 10.11 Quitting retire.01 null ----- 6:0-rel 7:1,9:0,10:0,11:0-ARG0 
",Quitting
DeepBank1.1/20016001,630,"nw/wsj/00/wsj_0016.parse 0 12 gold rise-v 45.6-1 Change_position_on_a_scale rise.01 null ----- 0:3-ARG1=Patient;Item 12:0-rel 13:1-ARG2=Extent;Difference 15:1-ARG3 19:1-ARG4 
",Change_position_on_a_scale
DeepBank1.1/20016002,289,"nw/wsj/00/wsj_0016.parse 1 3 gold follow-v 47.8 Cotheme follow.01 null ----- 0:1-ARG1=Theme;Theme 3:0-rel 4:4-ARG2=Co-Theme;Cotheme 
",Cotheme
DeepBank1.1/20016004,208,"nw/wsj/00/wsj_0016.parse 3 3 gold compare-v 22.2-2 Evaluative_comparison compare.01 null ----- 0:1-ARG1=Patient 3:0-rel 5:1-ARG2=Co-Patient 
",Evaluative_comparison
DeepBank1.1/20016006,491,"nw/wsj/00/wsj_0016.parse 5 13 gold arise-v 48.1.1 Coming_to_be arise.01 null ----- 11:1-ARG1=Theme;Entity 13:0-rel 14:1-ARG2=Location;Place/Time 
",Coming_to_be
DeepBank1.1/20017002,503,"nw/wsj/00/wsj_0017.parse 1 15 gold help-v 72-1 Assistance help.01 null ----- 0:2*16:1-ARG0=Agent;Helper 14:0-ARGM-MOD 15:0-rel 16:2-ARG1=Theme;Goal/Focal_entity 
",Assistance
DeepBank1.1/20019002,257,"nw/wsj/00/wsj_0019.parse 1 2 gold continue-v 55.3 Activity_ongoing continue.01 null ----- 0:1,3:2-ARG1 1:0-ARGM-MOD 2:0-rel 
",Activity_ongoing
DeepBank1.1/20020001,708,"nw/wsj/00/wsj_0020.parse 0 4 gold claim-v 37.7-1 Statement claim.01 2 ----- 0:1*3:1-ARG0=Agent;Speaker 4:0-rel 5:2-ARG1=Topic;Message 
",Statement
DeepBank1.1/20020003,542,"nw/wsj/00/wsj_0020.parse 2 10 gold face-v 98 Confronting_problem face.01 1 ----- 0:1-ARGM-LOC 7:1-ARG0 9:0-ARGM-MOD 10:0-rel 11:2-ARG1 20:1-ARGM-ADV 
",Confronting_problem
DeepBank1.1/20020006,738,"nw/wsj/00/wsj_0020.parse 5 16 gold hurt-v 40.8.3-2 Experience_bodily_harm hurt.01 2 ----- 5:2*19:1-ARG0=Experiencer;Experiencer 14:0-ARGM-MOD 16:0-rel 17:1-ARG1=Patient;Body_part 18:1-ARG2 
",Experience_bodily_harm
DeepBank1.1/20020007,550,"nw/wsj/00/wsj_0020.parse 6 2 gold laud-v 33 Judgment_communication laud.01 null ----- 0:1-ARG0=Agent;Communicator 2:0-rel 3:1*6:1-ARG1=Theme;Evaluee 5:1-ARG2=Attribute;Reason 
",Judgment_communication
DeepBank1.1/20020008,281,"nw/wsj/00/wsj_0020.parse 7 3 gold institute-v 55.5-1 Execute_plan institute.01 1 ----- 0:1-ARG0=Agent 1:1-ARGM-DIS 3:0-rel 4:2-ARG1=Theme 
",Execute_plan
DeepBank1.1/20020011,558,"nw/wsj/00/wsj_0020.parse 10 22 gold apply-v 105 Using apply.02 1 ----- 0:1*20:1-ARG0=Agent 22:0-rel 23:1-ARG1=Theme 25:2-ARG2=Predicate 
",Using
DeepBank1.1/20020013,224,"nw/wsj/00/wsj_0020.parse 12 2 gold remain-v 47.1-1 State_continue remain.01 1 ----- 0:1-ARG1=Theme 1:0-ARGM-MOD 2:0-rel 3:1-ARG3 
",State_continue
DeepBank1.1/20020016,273,"nw/wsj/00/wsj_0020.parse 15 3 gold tell-v 37.2-1 Evidence tell.01 1 ----- 1:1*5:1-ARG1=Topic 2:1-ARG0=Agent 3:0-rel 4:1-ARG2=Recipient 
",Evidence
DeepBank1.1/20020019,436,"nw/wsj/00/wsj_0020.parse 18 11 gold complain-v 37.8 Statement complain.01 2 ----- 6:1-ARG0=Agent;Speaker 11:0-rel 12:1-ARG1=Topic;Message 
",Statement
DeepBank1.1/20021002,452,"nw/wsj/00/wsj_0021.parse 1 8 gold believe-v 29.5-1 Awareness believe.01 null ----- 0:2,9:2-ARG1 8:0-rel 
",Awareness
DeepBank1.1/20022001,439,"nw/wsj/00/wsj_0022.parse 0 11 gold report-v 37.7-1 Statement report.01 null ----- 1:1-ARGM-TMP 6:1-ARG0 10:0-ARGM-MOD 11:0-rel 12:3-ARG1 
",Statement
DeepBank1.1/20022006,555,"nw/wsj/00/wsj_0022.parse 5 14 gold build-v 26.1-1 Building build.01 null ----- 8:1*11:1*12:1*15:1-ARG1=Product;Created_entity 14:0-rel 16:1-ARGM-LOC 19:1-ARG0=Agent;Agent 25:1-ARGM-PRP 8:1*11:1-LINK-SLC 
",Building
DeepBank1.1/20022014,370,"nw/wsj/00/wsj_0022.parse 13 10 gold lead-v 51.7 Cotheme lead.02 null ----- 0:2-ARG0=Agent;Theme 10:0-rel 11:2-ARG1=Theme;Cotheme 
",Cotheme
DeepBank1.1/20022017,249,"nw/wsj/00/wsj_0022.parse 16 5 gold total-v 54.1-1 Amounting_to total.01 1 ----- 0:1-ARGM-TMP 2:1-ARG1=Theme;Attribute 4:1-ARGM-TMP 5:0-rel 6:2-ARG2=Value;Value 11:1-ARGM-LOC 
",Amounting_to
DeepBank1.1/20023002,306,"nw/wsj/00/wsj_0023.parse 1 11 gold sell-v 13.1-1 Commerce_sell sell.01 null ----- 2:1*9:1*10:1-ARG0=Agent;Seller 11:0-rel 12:1-ARG1=Theme;Goods 13:1-ARGM-MNR 2:1*9:1-LINK-SLC 
",Commerce_sell
DeepBank1.1/20023004,447,"nw/wsj/00/wsj_0023.parse 3 7 gold prefer-v 32.1-1-1 Partiality prefer.01 null ----- 7:0-rel 8:0,9:0-ARG1 
",Partiality
DeepBank1.1/20024004,225,"nw/wsj/00/wsj_0024.parse 3 4 gold increase-v 45.6-1 Cause_change_of_position_on_a_scale increase.01 1 ----- 0:1-ARG1=Patient;Item 1:0-ARGM-MOD 3:1-ARG2=Extent;Difference 4:0-rel 6:1-ARGM-TMP 
",Cause_change_of_position_on_a_scale
DeepBank1.1/20024006,186,"nw/wsj/00/wsj_0024.parse 5 6 gold total-v 54.1-1 Amounting_to total.01 1 ----- 0:2-ARG1=Theme;Attribute 6:0-rel 7:2-ARG2=Value;Value 
",Amounting_to
DeepBank1.1/20025002,615,"nw/wsj/00/wsj_0025.parse 1 12 gold lead-v 51.7 Cotheme lead.02 null ----- 7:1*13:1-ARG1=Theme;Cotheme 12:0-rel 14:1-ARG0=Agent;Theme 7:1*13:1-LINK-PSV 
",Cotheme
DeepBank1.1/20029007,375,"nw/wsj/00/wsj_0029.parse 6 5 gold assemble-v 47.5.2 Building assemble.02 1 ----- 0:1*6:1-ARG1=Theme 5:0-rel 7:1-ARGM-ADV 8:1-ARG0=Agent 
",Building
DeepBank1.1/20029009,601,"nw/wsj/00/wsj_0029.parse 8 8 gold eliminate-v 10.1 Removing eliminate.01 null ----- 2:1*5:1*6:1-ARG0=Agent;Agent/Cause 8:0-rel 9:2-ARG1=Theme;Theme 
",Removing
